Publikation;Erscheinungstag;Druckprodukt;Startzeit;Produktionsende;Geplante Auflage;Sektion;Papiername;Planungskommentar;?txt_PagesInBroadSheets;Struktur
MDG;2013-01-31;KM_E;2013-01-25 08:10:00;2013-01-25 08:32:00;29000;F1;45 g - Standard;;;
MDG;2013-01-31;KM_MUC;2013-01-25 08:47:00;2013-01-25 09:26:00;51000;F1;45 g - Standard;;;
MDG;2013-01-31;KM_A;2013-01-25 09:41:00;2013-01-25 11:29:00;143000;F1;45 g - Standard;;;
AZ;2013-01-26;AL_1;2013-01-25 15:30:00;2013-01-25 16:59:00;118000;F1;45 g - Standard;;;
AZ;2013-01-26;IS_9;2013-01-25 17:39:00;2013-01-25 17:54:00;19900;F1;45 g - Standard;;;
AZ;2013-01-26;ME_9;2013-01-25 18:09:00;2013-01-25 18:26:00;22600;F1;45 g - Standard;;;
AZ;2013-01-26;WE_9;2013-01-25 18:41:00;2013-01-25 18:49:00;9300;F1;45 g - Standard;;;
AZ;2013-01-26;FU_9;2013-01-25 19:04:00;2013-01-25 19:13:00;11300;F1;45 g - Standard;;;
AZ;2013-01-26;KF_9;2013-01-25 19:28:00;2013-01-25 19:38:00;13100;F1;45 g - Standard;;;
AZ;2013-01-26;BU_9;2013-01-25 19:53:00;2013-01-25 19:57:00;4400;F1;45 g - Standard;;;
AZ;2013-01-26;KE_9;2013-01-25 20:12:00;2013-01-25 20:33:00;27000;F1;45 g - Standard;;;
AZ;2013-01-26;MO_9;2013-01-25 20:48:00;2013-01-25 20:56:00;10200;F1;45 g - Standard;;;
AZ;2013-01-26;WE;2013-01-25 21:10:00;2013-01-25 21:23:00;8500;F1;45 g - Standard;;;
AZ;2013-01-26;FU;2013-01-25 21:38:00;2013-01-25 21:54:00;10600;F1;45 g - Standard;;;
AZ;2013-01-26;IS;2013-01-25 22:09:00;2013-01-25 22:37:00;18000;F1;45 g - Standard;;;
AZ;2013-01-26;ME;2013-01-25 22:52:00;2013-01-25 23:24:00;21300;F1;45 g - Standard;;;
AZ;2013-01-26;KF;2013-01-25 23:39:00;2013-01-25 23:58:00;12300;F1;45 g - Standard;;;
Samstag, 26. Januar 2013
AZ;2013-01-26;BU;2013-01-26 00:13:00;2013-01-26 00:20:00;4200;F1;45 g - Standard;;;
AZ;2013-01-26;MO;2013-01-26 00:35:00;2013-01-26 00:50:00;9700;F1;45 g - Standard;;;
AZ;2013-01-26;KE;2013-01-26 01:05:00;2013-01-26 01:42:00;24300;F1;45 g - Standard;;;
Sonntag, 27. Januar 2013
AZ;2013-01-28;WE;2013-01-27 21:10:00;2013-01-27 21:23:00;8500;F1;45 g - Standard;;;
AZ;2013-01-28;FU;2013-01-27 21:38:00;2013-01-27 21:54:00;10600;F1;45 g - Standard;;;
AZ;2013-01-28;IS;2013-01-27 22:09:00;2013-01-27 22:37:00;18000;F1;45 g - Standard;;;
AZ;2013-01-28;ME;2013-01-27 22:52:00;2013-01-27 23:24:00;21300;F1;45 g - Standard;;;
AZ;2013-01-28;KF;2013-01-27 23:39:00;2013-01-27 23:58:00;12300;F1;45 g - Standard;;;
